plant_family	bee_species	plant_identification	layer	weight
Dipterocarpaceae	Lepidotrigona_ventralis	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Lepidotrigona_ventralis	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Lepidotrigona_ventralis	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Lepidotrigona_ventralis	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Lepidotrigona_ventralis	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_melina	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_melina	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_collina	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_melanocephala	field_work	Indo-Malayan-Australasia	1
Anacardiaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Anacardiaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Anacardiaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Apocynaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Apocynaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Apocynaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Apocynaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Apocynaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Caricaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Cleomaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Euphorbiaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Euphorbiaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Fabaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Fabaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Fabaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Fabaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Malvaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Malvaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Moraceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Moraceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Moraceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Moringaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Papaveraceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Sapotaceae	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Pinaceae	Scaptotrigona_postica	chemical	Neotropics	1
Anacardiaceae	Scaptotrigona_postica	chemical	Neotropics	1
Leguminosae	Scaptotrigona_postica	chemical	Neotropics	1
Pinaceae	Tetragonisca_fiebrigi	chemical	Neotropics	1
Anacardiaceae	Tetragonisca_fiebrigi	chemical	Neotropics	1
Hypericaceae	Lisotrigona_carpenteri	chemical	Indo-Malayan-Australasia	1
Anacardiaceae	Lisotrigona_cacciae	chemical	Indo-Malayan-Australasia	1
Anacardiaceae	Lepidotrigona_ventralis	chemical	Indo-Malayan-Australasia	1
Anacardiaceae	Tetragonula_laeviceps	chemical	Indo-Malayan-Australasia	1
Anacardiaceae	Heterotrigona_itama	chemical	Indo-Malayan-Australasia	1
Anacardiaceae	Lisotrigona_furva	chemical	Indo-Malayan-Australasia	1
Anacardiaceae	Melipona_quadrifasciata	chemical	Neotropics	1
Anacardiaceae	Melipona_quadrifasciata	chemical	Neotropics	1
Pinaceae	Axestotrigona_ferruginea	chemical	Afrotropics	1
Hypericaceae	Lisotrigona_furva	chemical	Indo-Malayan-Australasia	1
Anacardiaceae	Lisotrigona_furva	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Lisotrigona_furva	chemical	Indo-Malayan-Australasia	1
Anacardiaceae	Tetragonula_laeviceps	chemical	Indo-Malayan-Australasia	1
Anacardiaceae	Heterotrigona_itama	chemical	Indo-Malayan-Australasia	1
Euphorbiaceae	Trigona_corvina	field_work	Neotropics	1
Euphorbiaceae	Trigona_fulviventris	field_work	Neotropics	1
Euphorbiaceae	Plebeia_frontalis	field_work	Neotropics	1
Leguminosae	Melipona_subnitida	chemical	Neotropics	1
Orchidaceae	Trigona_williana	chemical	Neotropics	1
Fabaceae	Heterotrigona_itama	chemical	Indo-Malayan-Australasia	1
Fabaceae	Scaptotrigona_postica	chemical	Neotropics	1
Anacardiaceae	Tetragonula_sapiens	chemical	Indo-Malayan-Australasia	1
Myrtaceae	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Clusiaceae	Heterotrigona_itama	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_fimbriata	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_fimbriata	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_fimbriata	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_melanoleuca	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_melanoleuca	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_melanoleuca	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Geniotrigona_thoracica	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Geniotrigona_thoracica	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Geniotrigona_thoracica	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_apicalis	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_apicalis	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_apicalis	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_collina	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_collina	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_collina	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_atripes	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_atripes	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_atripes	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Lepidotrigona_ventralis	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Lepidotrigona_ventralis	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Lepidotrigona_ventralis	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_fuscobalteata	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_fuscobalteata	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_fuscobalteata	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_laeviceps	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_laeviceps	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_laeviceps	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_reepeni	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_reepeni	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_reepeni	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Heterotrigona_itama	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Heterotrigona_itama	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Heterotrigona_itama	field_work	Indo-Malayan-Australasia	1
Asparagaceae	Lisotrigona_cacciae	chemical	Indo-Malayan-Australasia	1
Hypericaceae	Lisotrigona_cacciae	chemical	Indo-Malayan-Australasia	1
Anacardiaceae	Lisotrigona_cacciae	chemical	Indo-Malayan-Australasia	1
Clusiaceae	Lisotrigona_cacciae	chemical	Indo-Malayan-Australasia	1
Myrtaceae	Heterotrigona_itama	chemical	Indo-Malayan-Australasia	1
Fabaceae	Heterotrigona_itama	chemical	Indo-Malayan-Australasia	1
Clusiaceae	Tetragonula_pagdeni	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_apicalis	chemical	Indo-Malayan-Australasia	1
Myrtaceae	Tetragonula_carbonaria	field_work	Indo-Malayan-Australasia	1
Campanulaceae	Scaptotrigona_bipunctata	chemical	Neotropics	1
Campanulaceae	Melipona_quadrifasciata	chemical	Neotropics	1
Clusiaceae	Frieseomelitta_longipes	chemical	Neotropics	1
Asteraceae	Melipona_quadrifasciata	chemical	Neotropics	1
Asteraceae	Tetragona_clavipes	chemical	Neotropics	1
Asteraceae	Scaptotrigona_sp.	chemical	Neotropics	1
Fabaceae	Scaptotrigona_postica	chemical	Neotropics	1
Anacardiaceae	Tetragonula_minor	chemical	Indo-Malayan-Australasia	1
Anacardiaceae	Tetragonisca_angustula	chemical	Neotropics	1
Anacardiaceae	Tetragonisca_angustula	chemical	Neotropics	1
Anacardiaceae	Tetragonisca_angustula	chemical	Neotropics	1
Anacardiaceae	Tetragonisca_angustula	chemical	Neotropics	1
Anacardiaceae	Tetragonisca_angustula	chemical	Neotropics	1
Anacardiaceae	Tetragonisca_angustula	chemical	Neotropics	1
Anacardiaceae	Tetragonisca_angustula	chemical	Neotropics	1
Anacardiaceae	Tetragonisca_angustula	chemical	Neotropics	1
Calophyllaceae	Melipona_scutellaris	chemical	Neotropics	1
Clusiaceae	Melipona_scutellaris	chemical	Neotropics	1
Altingiaceae	Melipona_beecheii	chemical	Neotropics	1
Salicaceae	Melipona_beecheii	chemical	Neotropics	1
Fabaceae	Tetragonula_biroi	chemical	Indo-Malayan-Australasia	1
Euphorbiaceae	Tetragonula_biroi	chemical	Indo-Malayan-Australasia	1
Clusiaceae	Trigona_spinipes	field_work	Neotropics	1
Clusiaceae	Trigona_spinipes	field_work	Neotropics	1
Anacardiaceae	Wallacetrigona_incisa	chemical	Indo-Malayan-Australasia	1
Anacardiaceae	Wallacetrigona_incisa	chemical	Indo-Malayan-Australasia	1
Clusiaceae	Homotrigona_melanoleuca	chemical	Indo-Malayan-Australasia	1
Clusiaceae	Tetragonula_laeviceps	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_melanoleuca	chemical	Indo-Malayan-Australasia	1
Pinaceae	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Pinaceae	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Asphodelaceae	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Myrtaceae	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
